,per_sig_back_gfp,per_sig_back_bf,per_sig_back_combo,per_res_bf,per_res_gfp,per_back_bf,per_back_gfp,im1_name,im2_name,per_sus_bf,per_sus_gfp,per_sus_combo,per_res_combo,per_back_combo
0,0.9175020042249648,1.9528036225190926,1.6133907564700722,0.7453226122769171,0.8997455211077167,0.33866119384765625,0.5215118408203125,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/GFP/ready_data/ 13_movieGalone.avi - indx(0 - 0).png,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/BF/ready_data/ 13_movieBFalone.avi - indx(0 - 0).png,0.0,0.0,0.0,0.9192441731135224,0.3826446533203125
1,0.0,0.0,0.0,,,1.0,1.0,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/GFP/ready_data/ 13_movieGalone.avi - indx(0 - 1).png,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/BF/ready_data/ 13_movieBFalone.avi - indx(0 - 1).png,0.0,0.0,0.0,,1.0
2,0.0,0.0,0.0,,,1.0,1.0,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/GFP/ready_data/ 13_movieGalone.avi - indx(0 - 10).png,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/BF/ready_data/ 13_movieBFalone.avi - indx(0 - 10).png,0.0,0.0,0.0,,1.0
3,0.0,0.0,0.0,,,1.0,1.0,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/GFP/ready_data/ 13_movieGalone.avi - indx(0 - 11).png,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/BF/ready_data/ 13_movieBFalone.avi - indx(0 - 11).png,0.0,0.0,0.0,,1.0
4,0.0,0.0,0.0,,,1.0,1.0,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/GFP/ready_data/ 13_movieGalone.avi - indx(0 - 12).png,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/BF/ready_data/ 13_movieBFalone.avi - indx(0 - 12).png,0.0,0.0,0.0,,1.0
5,0.0,0.0,0.0,,,1.0,1.0,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/GFP/ready_data/ 13_movieGalone.avi - indx(0 - 13).png,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/BF/ready_data/ 13_movieBFalone.avi - indx(0 - 13).png,0.0,0.0,0.0,,1.0
6,0.0,0.0,0.0,,,1.0,1.0,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/GFP/ready_data/ 13_movieGalone.avi - indx(0 - 14).png,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/BF/ready_data/ 13_movieBFalone.avi - indx(0 - 14).png,0.0,0.0,0.0,,1.0
7,0.0,0.0,0.0,,,1.0,1.0,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/GFP/ready_data/ 13_movieGalone.avi - indx(0 - 15).png,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/BF/ready_data/ 13_movieBFalone.avi - indx(0 - 15).png,0.0,0.0,0.0,,1.0
8,0.0,0.0,0.0,,,1.0,1.0,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/GFP/ready_data/ 13_movieGalone.avi - indx(0 - 2).png,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/BF/ready_data/ 13_movieBFalone.avi - indx(0 - 2).png,0.0,0.0,0.0,,1.0
9,0.0,0.0,0.0,,,1.0,1.0,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/GFP/ready_data/ 13_movieGalone.avi - indx(0 - 3).png,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/BF/ready_data/ 13_movieBFalone.avi - indx(0 - 3).png,0.0,0.0,0.0,,1.0
10,0.0,0.0,0.0,,,1.0,1.0,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/GFP/ready_data/ 13_movieGalone.avi - indx(0 - 4).png,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/BF/ready_data/ 13_movieBFalone.avi - indx(0 - 4).png,0.0,0.0,0.0,,1.0
11,0.0,0.0,0.0,,,1.0,1.0,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/GFP/ready_data/ 13_movieGalone.avi - indx(0 - 5).png,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/BF/ready_data/ 13_movieBFalone.avi - indx(0 - 5).png,0.0,0.0,0.0,,1.0
12,0.0,0.0,0.0,,,1.0,1.0,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/GFP/ready_data/ 13_movieGalone.avi - indx(0 - 6).png,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/BF/ready_data/ 13_movieBFalone.avi - indx(0 - 6).png,0.0,0.0,0.0,,1.0
13,0.0,0.0,0.0,,,1.0,1.0,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/GFP/ready_data/ 13_movieGalone.avi - indx(0 - 7).png,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/BF/ready_data/ 13_movieBFalone.avi - indx(0 - 7).png,0.0,0.0,0.0,,1.0
14,0.0,0.0,0.0,,,1.0,1.0,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/GFP/ready_data/ 13_movieGalone.avi - indx(0 - 8).png,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/BF/ready_data/ 13_movieBFalone.avi - indx(0 - 8).png,0.0,0.0,0.0,,1.0
15,0.0,0.0,0.0,,,1.0,1.0,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/GFP/ready_data/ 13_movieGalone.avi - indx(0 - 9).png,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/BF/ready_data/ 13_movieBFalone.avi - indx(0 - 9).png,0.0,0.0,0.0,,1.0
16,0.9168065703037712,1.9523646487489752,1.6152679675964723,0.7387293427045886,0.904385914540385,0.3387115478515625,0.5217010498046875,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/GFP/ready_data/ 13_movieGalone.avi - indx(1 - 0).png,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/BF/ready_data/ 13_movieBFalone.avi - indx(1 - 0).png,0.0,0.0,0.0,0.9206166464905996,0.3823699951171875
17,0.0,0.0,0.0,,,1.0,1.0,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/GFP/ready_data/ 13_movieGalone.avi - indx(1 - 1).png,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/BF/ready_data/ 13_movieBFalone.avi - indx(1 - 1).png,0.0,0.0,0.0,,1.0
18,0.0,0.0,0.0,,,1.0,1.0,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/GFP/ready_data/ 13_movieGalone.avi - indx(1 - 10).png,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/BF/ready_data/ 13_movieBFalone.avi - indx(1 - 10).png,0.0,0.0,0.0,,1.0
19,0.0,0.0,0.0,,,1.0,1.0,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/GFP/ready_data/ 13_movieGalone.avi - indx(1 - 11).png,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/BF/ready_data/ 13_movieBFalone.avi - indx(1 - 11).png,0.0,0.0,0.0,,1.0
20,0.0,0.0,0.0,,,1.0,1.0,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/GFP/ready_data/ 13_movieGalone.avi - indx(1 - 12).png,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/BF/ready_data/ 13_movieBFalone.avi - indx(1 - 12).png,0.0,0.0,0.0,,1.0
21,0.0,0.0,0.0,,,1.0,1.0,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/GFP/ready_data/ 13_movieGalone.avi - indx(1 - 13).png,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/BF/ready_data/ 13_movieBFalone.avi - indx(1 - 13).png,0.0,0.0,0.0,,1.0
22,0.0,0.0,0.0,,,1.0,1.0,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/GFP/ready_data/ 13_movieGalone.avi - indx(1 - 14).png,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/BF/ready_data/ 13_movieBFalone.avi - indx(1 - 14).png,0.0,0.0,0.0,,1.0
23,0.0,0.0,0.0,,,1.0,1.0,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/GFP/ready_data/ 13_movieGalone.avi - indx(1 - 15).png,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/BF/ready_data/ 13_movieBFalone.avi - indx(1 - 15).png,0.0,0.0,0.0,,1.0
24,0.0,0.0,0.0,,,1.0,1.0,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/GFP/ready_data/ 13_movieGalone.avi - indx(1 - 2).png,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/BF/ready_data/ 13_movieBFalone.avi - indx(1 - 2).png,0.0,0.0,0.0,,1.0
25,0.0,0.0,0.0,,,1.0,1.0,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/GFP/ready_data/ 13_movieGalone.avi - indx(1 - 3).png,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/BF/ready_data/ 13_movieBFalone.avi - indx(1 - 3).png,0.0,0.0,0.0,,1.0
26,0.0,0.0,0.0,,,1.0,1.0,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/GFP/ready_data/ 13_movieGalone.avi - indx(1 - 4).png,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/BF/ready_data/ 13_movieBFalone.avi - indx(1 - 4).png,0.0,0.0,0.0,,1.0
27,0.0,0.0,0.0,,,1.0,1.0,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/GFP/ready_data/ 13_movieGalone.avi - indx(1 - 5).png,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/BF/ready_data/ 13_movieBFalone.avi - indx(1 - 5).png,0.0,0.0,0.0,,1.0
28,0.0,0.0,0.0,,,1.0,1.0,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/GFP/ready_data/ 13_movieGalone.avi - indx(1 - 6).png,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/BF/ready_data/ 13_movieBFalone.avi - indx(1 - 6).png,0.0,0.0,0.0,,1.0
29,0.0,0.0,0.0,,,1.0,1.0,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/GFP/ready_data/ 13_movieGalone.avi - indx(1 - 7).png,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/BF/ready_data/ 13_movieBFalone.avi - indx(1 - 7).png,0.0,0.0,0.0,,1.0
30,0.0,0.0,0.0,,,1.0,1.0,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/GFP/ready_data/ 13_movieGalone.avi - indx(1 - 8).png,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/BF/ready_data/ 13_movieBFalone.avi - indx(1 - 8).png,0.0,0.0,0.0,,1.0
31,0.0,0.0,0.0,,,1.0,1.0,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/GFP/ready_data/ 13_movieGalone.avi - indx(1 - 9).png,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/BF/ready_data/ 13_movieBFalone.avi - indx(1 - 9).png,0.0,0.0,0.0,,1.0
32,0.8877750892960018,1.9541879093585046,1.579934021462708,0.7050256159476286,0.9072647631408176,0.33850250244140623,0.52972412109375,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/GFP/ready_data/ 13_movieGalone.avi - indx(2 - 0).png,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/BF/ready_data/ 13_movieBFalone.avi - indx(2 - 0).png,0.0,0.0,0.0,0.9233887645824717,0.3876068115234375
33,0.0,0.0,0.0,,,1.0,1.0,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/GFP/ready_data/ 13_movieGalone.avi - indx(2 - 1).png,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/BF/ready_data/ 13_movieBFalone.avi - indx(2 - 1).png,0.0,0.0,0.0,,1.0
34,0.0,0.0,0.0,,,1.0,1.0,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/GFP/ready_data/ 13_movieGalone.avi - indx(2 - 10).png,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/BF/ready_data/ 13_movieBFalone.avi - indx(2 - 10).png,0.0,0.0,0.0,,1.0
35,0.0,0.0,0.0,,,1.0,1.0,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/GFP/ready_data/ 13_movieGalone.avi - indx(2 - 11).png,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/BF/ready_data/ 13_movieBFalone.avi - indx(2 - 11).png,0.0,0.0,0.0,,1.0
36,0.0,0.0,0.0,,,1.0,1.0,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/GFP/ready_data/ 13_movieGalone.avi - indx(2 - 12).png,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/BF/ready_data/ 13_movieBFalone.avi - indx(2 - 12).png,0.0,0.0,0.0,,1.0
37,0.0,0.0,0.0,,,1.0,1.0,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/GFP/ready_data/ 13_movieGalone.avi - indx(2 - 13).png,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/BF/ready_data/ 13_movieBFalone.avi - indx(2 - 13).png,0.0,0.0,0.0,,1.0
38,0.0,0.0,0.0,,,1.0,1.0,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/GFP/ready_data/ 13_movieGalone.avi - indx(2 - 14).png,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/BF/ready_data/ 13_movieBFalone.avi - indx(2 - 14).png,0.0,0.0,0.0,,1.0
39,0.0,0.0,0.0,,,1.0,1.0,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/GFP/ready_data/ 13_movieGalone.avi - indx(2 - 15).png,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/BF/ready_data/ 13_movieBFalone.avi - indx(2 - 15).png,0.0,0.0,0.0,,1.0
40,0.0,0.0,0.0,,,1.0,1.0,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/GFP/ready_data/ 13_movieGalone.avi - indx(2 - 2).png,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/BF/ready_data/ 13_movieBFalone.avi - indx(2 - 2).png,0.0,0.0,0.0,,1.0
41,0.0,0.0,0.0,,,1.0,1.0,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/GFP/ready_data/ 13_movieGalone.avi - indx(2 - 3).png,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/BF/ready_data/ 13_movieBFalone.avi - indx(2 - 3).png,0.0,0.0,0.0,,1.0
42,0.0,0.0,0.0,,,1.0,1.0,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/GFP/ready_data/ 13_movieGalone.avi - indx(2 - 4).png,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/BF/ready_data/ 13_movieBFalone.avi - indx(2 - 4).png,0.0,0.0,0.0,,1.0
43,0.0,0.0,0.0,,,1.0,1.0,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/GFP/ready_data/ 13_movieGalone.avi - indx(2 - 5).png,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/BF/ready_data/ 13_movieBFalone.avi - indx(2 - 5).png,0.0,0.0,0.0,,1.0
44,0.0,0.0,0.0,,,1.0,1.0,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/GFP/ready_data/ 13_movieGalone.avi - indx(2 - 6).png,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/BF/ready_data/ 13_movieBFalone.avi - indx(2 - 6).png,0.0,0.0,0.0,,1.0
45,0.0,0.0,0.0,,,1.0,1.0,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/GFP/ready_data/ 13_movieGalone.avi - indx(2 - 7).png,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/BF/ready_data/ 13_movieBFalone.avi - indx(2 - 7).png,0.0,0.0,0.0,,1.0
46,0.0,0.0,0.0,,,1.0,1.0,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/GFP/ready_data/ 13_movieGalone.avi - indx(2 - 8).png,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/BF/ready_data/ 13_movieBFalone.avi - indx(2 - 8).png,0.0,0.0,0.0,,1.0
47,0.0,0.0,0.0,,,1.0,1.0,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/GFP/ready_data/ 13_movieGalone.avi - indx(2 - 9).png,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/BF/ready_data/ 13_movieBFalone.avi - indx(2 - 9).png,0.0,0.0,0.0,,1.0
48,0.8245699999443186,1.9579880481684089,1.4961720993654446,0.7325358917852302,0.8982658842437216,0.338067626953125,0.5480743408203125,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/GFP/ready_data/ 13_movieGalone.avi - indx(3 - 0).png,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/BF/ready_data/ 13_movieBFalone.avi - indx(3 - 0).png,0.0,0.0,0.0,0.9189692831721884,0.4006134033203125
49,0.0,0.0,0.0,,,1.0,1.0,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/GFP/ready_data/ 13_movieGalone.avi - indx(3 - 1).png,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/BF/ready_data/ 13_movieBFalone.avi - indx(3 - 1).png,0.0,0.0,0.0,,1.0
50,0.0,0.0,0.0,,,1.0,1.0,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/GFP/ready_data/ 13_movieGalone.avi - indx(3 - 10).png,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/BF/ready_data/ 13_movieBFalone.avi - indx(3 - 10).png,0.0,0.0,0.0,,1.0
51,0.0,0.0,0.0,,,1.0,1.0,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/GFP/ready_data/ 13_movieGalone.avi - indx(3 - 11).png,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/BF/ready_data/ 13_movieBFalone.avi - indx(3 - 11).png,0.0,0.0,0.0,,1.0
52,0.0,0.0,0.0,,,1.0,1.0,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/GFP/ready_data/ 13_movieGalone.avi - indx(3 - 12).png,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/BF/ready_data/ 13_movieBFalone.avi - indx(3 - 12).png,0.0,0.0,0.0,,1.0
53,0.0,0.0,0.0,,,1.0,1.0,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/GFP/ready_data/ 13_movieGalone.avi - indx(3 - 13).png,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/BF/ready_data/ 13_movieBFalone.avi - indx(3 - 13).png,0.0,0.0,0.0,,1.0
54,0.0,0.0,0.0,,,1.0,1.0,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/GFP/ready_data/ 13_movieGalone.avi - indx(3 - 14).png,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/BF/ready_data/ 13_movieBFalone.avi - indx(3 - 14).png,0.0,0.0,0.0,,1.0
55,0.0,0.0,0.0,,,1.0,1.0,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/GFP/ready_data/ 13_movieGalone.avi - indx(3 - 15).png,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/BF/ready_data/ 13_movieBFalone.avi - indx(3 - 15).png,0.0,0.0,0.0,,1.0
56,0.0,0.0,0.0,,,1.0,1.0,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/GFP/ready_data/ 13_movieGalone.avi - indx(3 - 2).png,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/BF/ready_data/ 13_movieBFalone.avi - indx(3 - 2).png,0.0,0.0,0.0,,1.0
57,0.0,0.0,0.0,,,1.0,1.0,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/GFP/ready_data/ 13_movieGalone.avi - indx(3 - 3).png,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/BF/ready_data/ 13_movieBFalone.avi - indx(3 - 3).png,0.0,0.0,0.0,,1.0
58,0.0,0.0,0.0,,,1.0,1.0,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/GFP/ready_data/ 13_movieGalone.avi - indx(3 - 4).png,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/BF/ready_data/ 13_movieBFalone.avi - indx(3 - 4).png,0.0,0.0,0.0,,1.0
59,0.0,0.0,0.0,,,1.0,1.0,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/GFP/ready_data/ 13_movieGalone.avi - indx(3 - 5).png,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/BF/ready_data/ 13_movieBFalone.avi - indx(3 - 5).png,0.0,0.0,0.0,,1.0
60,0.0,0.0,0.0,,,1.0,1.0,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/GFP/ready_data/ 13_movieGalone.avi - indx(3 - 6).png,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/BF/ready_data/ 13_movieBFalone.avi - indx(3 - 6).png,0.0,0.0,0.0,,1.0
61,0.0,0.0,0.0,,,1.0,1.0,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/GFP/ready_data/ 13_movieGalone.avi - indx(3 - 7).png,/home/meyerct6/Data/ml_antibiotics/iphone_bacteria/05212020_kralj_videos/training_data/Round 1/Resistant/BF/ready_data/ 13_movieBFalone.avi - indx(3 - 7).png,0.0,0.0,0.0,,1.0
